停車場型態,停車場代碼,停車場名稱,停車場地址,停車場電話,即時車位,一般大型車,一般小型車,身障者小型車,婦幼者小型車,綠能小型車,一般機車,身障者機車,latitude,longitude
民營停車場,106030,大遠百停車場,臺南市東區前鋒路210號,06-209-8999,-1,0,530,13,13,2,0,0,22.996316,120.214833
民營停車場,106040,Times崇善十街停車場,臺南市東區崇善十街61號(東區竹篙段3685地號),02-2504-6098,-1,0,49,1,1,1,0,0,22.97172,120.232003
民營停車場,106054,助安168台南北門停車場,臺南市中西區北門路一段101號地下室(中西區青年段503、508、509、510、512及859地號等6筆土地),02-2754-6661,-1,0,35,1,1,1,0,0,22.992244,120.211521
民營停車場,107003,烏山頭水庫風景區停車場,臺南市官田區嘉南里68-2號,06-698-2103,-1,20,302,7,7,7,5,1,23,120.363147
民營停車場,107018,捷美停車場,臺南市安平區臺南市安平區金華段35-12地號,,-1,0,29,1,1,1,0,0,22.99246,120.17142
民營停車場,107033,成大醫院汽機車停車場,臺南市北區小東路35號,06-235-3535#6668、2188,-1,0,423,11,9,9,485,10,23.001557,120.218078
民營停車場,107040,東門三多停車場,臺南市東區臺南市東區東門路3段226巷內,985153397,-1,0,177,4,4,4,0,0,22.976081,120.235277
民營停車場,107041,台灣聯通台南安中停車場,臺南市安南區臺南市安南區怡安路2段535巷6弄4號對面空地,02-25235000,-1,0,46,1,1,1,0,0,23.043979,120.195405
民營停車場,107045,新興停車場,臺南市南區臺南市南區聖南街83號旁,,-1,0,7,1,0,0,0,0,22.979458,120.190458
民營停車場,107050,嘉年華購物中心停車場,臺南市仁德區仁愛里1211號,06-337-8888,-1,0,710,15,16,1,391,10,22.946418,120.221417
民營停車場,107060,曾文水庫風景區停車場,臺南市楠西區密枝里70號,06-575-3251#6221,-1,15,145,5,4,2,8,1,23.210457,120.496897
民營停車場,107063,虎頭埤風景區附設停車場,臺南市新化區新化區中興路42巷36號(新化段王公廟小段1090-11地號),06-590-1325,-1,1,53,1,1,1,8,1,23.027103,120.335162
