停車場型態,停車場代碼,停車場名稱,停車場地址,停車場電話,即時車位,一般大型車,一般小型車,身障者小型車,婦幼者小型車,綠能小型車,一般機車,身障者機車,收費時間,收費費率,經緯度,備註欄,latitude,longitude
路邊停車格收費路段,11,中山路-1(路邊停車格),  民生綠園-民權路口兩側   ,,-1,0,7,0,0,0,0,0,,累進費率第一小時20元/時第二小時起每小時30元/時,22.993381，120.206067,,22.993381,120.206067
路邊停車格收費路段,12,中山路-2(路邊停車格),  民權路口-民族路口兩側   ,,-1,0,8,1,0,0,0,0,,累進費率:停車費率小型車以計時收費，計費方式以第一小時為20元、第二小時起每小時30元之費率；大型車輛則加倍計收；其停車時數未滿一小時者，以一小時計算收費,22.994169，120.207550,,22.994169,120.20755
路邊停車格收費路段,13,中山路-3(路邊停車格),  民族路口-火車站圓環東側   ,,-1,0,1,1,0,0,0,0,,累進費率:停車費率小型車以計時收費，計費方式以第一小時為20元、第二小時起每小時30元之費率；大型車輛則加倍計收；其停車時數未滿一小時者，以一小時計算收費,22.996441，120.211029,,22.996441,120.211029
路邊停車格收費路段,14,中山路-4(路邊停車格),  民族路口-火車站圓環西側   ,,-1,0,5,0,0,0,0,0,,累進費率:停車費率小型車以計時收費，計費方式以第一小時為20元、第二小時起每小時30元之費率；大型車輛則加倍計收；其停車時數未滿一小時者，以一小時計算收費,22.996641，120.211471,,22.996641,120.211471
路邊停車格收費路段,21,中正路-1(路邊停車格),  民生綠園-忠義路口兩側   ,,-1,0,18,1,0,0,0,0,,20元/時,22.992170，120.203659,,22.99217,120.203659
路邊停車格收費路段,22,中正路-2(路邊停車格),  忠義路口-永福路口兩側   ,,-1,0,15,0,0,0,0,0,,20元/時,22.992100，120.201729,,22.9921,120.201729
路邊停車格收費路段,23,中正路-3(路邊停車格),  永福路口-西門路口南側   ,,-1,0,12,0,0,0,0,0,,20元/時,22.992540，120.199608,,22.99254,120.199608
路邊停車格收費路段,24,中正路-4(路邊停車格),  永福路口-西門路口北側   ,,-1,0,12,0,0,0,0,0,,20元/時,22.992531，120.199661,,22.992531,120.199661
路邊停車格收費路段,25,中正路-5(路邊停車格),  西門路口-國華街口兩側   ,,-1,0,9,0,0,0,0,0,,累進費率:停車費率小型車以計時收費，計費方式以第一小時為20元、第二小時起每小時30元之費率；大型車輛則加倍計收；其停車時數未滿一小時者，以一小時計算收費,22.992889，120.197983,,22.992889,120.197983
路邊停車格收費路段,26,中正路-6(路邊停車格),  國華街口-康樂街口兩側   ,,-1,0,4,1,0,0,0,0,,累進費率:停車費率小型車以計時收費，計費方式以第一小時為20元、第二小時起每小時30元之費率；大型車輛則加倍計收；其停車時數未滿一小時者，以一小時計算收費,22.993370，120.195587,,22.99337,120.195587
